Name;Reign_start;Reign_end;Birth_year;Death_year
Gorm_den_Gamle;936;958;908;958
Harald_1_Blåtand;NA;NA;936;985
Toke_Gormsen;985;986;NA;986
Svend_1_Tveskæg;NA;NA;NA;1014
Harald_2;1014;1018;963;NA
Knud_1_den_Store;1018;1035;NA;1035
Hardeknud;1035;1042;995;1042
Magnus_den_Gode ;1042;1047;1018;1047
Svend_2_Estridsen;1047;1074;1024;1076
Harald_3_Hen;1074;1080;1019;1080
Knud_2_den_Hellige;1080;1086;1041;1086
Oluf_1_Hunger;1086;1095;1043;1095
Erik_1_Ejegod;1095;1103;1050;1103
Niels;1104;1134;1055;1134
Erik_2_Emune;1134;1137;1065;1137
Erik_3_Lam;1137;1146;1100;1146
Svend_3_Knud_3_Valdemar_1;1146;1157;1120;NA
Valdemar_1_den_Store;1157;1182;1131;1182
Knud_4;1182;1202;1163;1202
Valdemar_2_Sejr;1202;1241;1170;1241
Erik_4_Plovpenning;1241;1250;1216;1250
Abel ;1250;1252;1218;1252
Christoffer_1;1252;1259;1219;1259
Erik_5_Klipping;1259;1286;1249;1286
Erik_6_Menved;1286;1319;1274;1319
Christoffer_2;1319;1326;1276;1332
Valdemar_3;1326;1329;1314;1364
Christoffer_2;1329;1332;1276;1332
Valdemar_4_Atterdag;1340;1375;1320;1375
Oluf_2;1375;1387;1370;1387
Margrete_1;1387;1396;1353;1412
Erik_7_af_Pommern;1396;1439;1382;1459
Christoffer_3_af_Bayern;1440;1448;1416;1448
Chrstian_1;1448;1481;1426;1481
Hans ;1482;1513;1455;1513
Christian_2;1513;1523;1481;1559
Frederik_1;1523;1533;1471;1533
Christian_3;1536;1559;1503;1559
Frederik_2;1559;1588;1534;1588
Christian_4;1588;1648;1577;1648
Frederik_3;1648;1670;1609;1670
Christian_5;1670;1699;1646;1699
Frederik_4;1699;1730;1671;1733
Christian_6;1730;1746;1699;1746
Frederik_5;1746;1766;1723;1766
Christian_7;1766;1808;1749;1808
Frederik_6;1808;1839;1768;1839
Christian_8;1839;1848;1786;1848
Frederik_7;1848;1863;1808;1863
Christian_9;1863;1906;1818;1906
Frederik_8;1906;1912;1843;1912
Christian_10;1912;1947;1870;1947
Frederik_9;1947;1972;1899;1972
Margrete_2;1972;2023;1940;NA
Frederik_10;2024;NA;1968;NA
