Year;Age_group;Births
1973;18 år;1381.0
1974;18 år;1297.0
1975;18 år;1408.0
1976;18 år;1229.0
1977;18 år;1163.0
1978;18 år;1074.0
1979;18 år;963.0
1980;18 år;925.0
1981;18 år;740.0
1982;18 år;655.0
1983;18 år;595.0
1984;18 år;583.0
1985;18 år;486.0
1986;18 år;498.0
1987;18 år;455.0
1988;18 år;466.0
1989;18 år;462.0
1990;18 år;494.0
1991;18 år;479.0
1992;18 år;462.0
1993;18 år;446.0
1994;18 år;405.0
1995;18 år;364.0
1996;18 år;314.0
1997;18 år;365.0
1998;18 år;296.0
1999;18 år;275.0
2000;18 år;270.0
2001;18 år;271.0
2002;18 år;254.0
2003;18 år;218.0
2004;18 år;222.0
2005;18 år;215.0
2006;18 år;247.0
2007;18 år;249.0
2008;18 år;268.0
2009;18 år;252.0
2010;18 år;215.0
2011;18 år;211.0
2012;18 år;231.0
2013;18 år;196.0
2014;18 år;149.0
2015;18 år;145.0
2016;18 år;176.0
2017;18 år;133.0
2018;18 år;120.0
2019;18 år;75.0
2020;18 år;72.0
2021;18 år;61.0
2022;18 år;43.0
2023;18 år;45.0
2024;18 år;37.0
2025;18 år;39.0
1973;19 år;2264.0
1974;19 år;2350.0
1975;19 år;2431.0
1976;19 år;2109.0
1977;19 år;2072.0
1978;19 år;1902.0
1979;19 år;1734.0
1980;19 år;1605.0
1981;19 år;1515.0
1982;19 år;1332.0
1983;19 år;1187.0
1984;19 år;1167.0
1985;19 år;1112.0
1986;19 år;986.0
1987;19 år;982.0
1988;19 år;834.0
1989;19 år;878.0
1990;19 år;837.0
1991;19 år;861.0
1992;19 år;928.0
1993;19 år;818.0
1994;19 år;859.0
1995;19 år;830.0
1996;19 år;734.0
1997;19 år;729.0
1998;19 år;655.0
1999;19 år;656.0
2000;19 år;621.0
2001;19 år;607.0
2002;19 år;520.0
2003;19 år;491.0
2004;19 år;441.0
2005;19 år;455.0
2006;19 år;497.0
2007;19 år;496.0
2008;19 år;531.0
2009;19 år;501.0
2010;19 år;484.0
2011;19 år;436.0
2012;19 år;404.0
2013;19 år;422.0
2014;19 år;370.0
2015;19 år;357.0
2016;19 år;357.0
2017;19 år;284.0
2018;19 år;242.0
2019;19 år;227.0
2020;19 år;177.0
2021;19 år;132.0
2022;19 år;131.0
2023;19 år;126.0
2024;19 år;123.0
2025;19 år;116.0
1973;20 år;3267.0
1974;20 år;3364.0
1975;20 år;3552.0
1976;20 år;3163.0
1977;20 år;3058.0
