Year;Civil_status;Age;Number
1971;Unmarried;18;34581
1971;Unmarried;19;30865
1971;Unmarried;20;27503
1971;Unmarried;21;21460
1971;Unmarried;22;17414
1971;Unmarried;23;13529
1971;Unmarried;24;10791
1971;Unmarried;25;8093
1971;Unmarried;26;6202
1971;Unmarried;27;4772
1971;Unmarried;28;3944
1971;Unmarried;29;2935
1971;Unmarried;30;2568
1971;Unmarried;31;2309
1971;Unmarried;32;2164
1971;Unmarried;33;1966
1971;Unmarried;34;1906
1971;Unmarried;35;1846
1971;Married;18;1765
1971;Married;19;4784
1971;Married;20;9837
1971;Married;21;15566
1971;Married;22;21471
1971;Married;23;27630
1971;Married;24;31379
1971;Married;25;32808
1971;Married;26;32787
1971;Married;27;31328
1971;Married;28;29994
1971;Married;29;27472
1971;Married;30;27152
1971;Married;31;26181
1971;Married;32;26462
1971;Married;33;26201
1971;Married;34;25502
1971;Married;35;24724
1972;Unmarried;18;35134
1972;Unmarried;19;32164
1972;Unmarried;20;27152
1972;Unmarried;21;23066
1972;Unmarried;22;17358
1972;Unmarried;23;13795
1972;Unmarried;24;10994
1972;Unmarried;25;8845
1972;Unmarried;26;6847
1972;Unmarried;27;5393
1972;Unmarried;28;4205
1972;Unmarried;29;3543
1972;Unmarried;30;2683
1972;Unmarried;31;2358
1972;Unmarried;32;2167
1972;Unmarried;33;2052
1972;Unmarried;34;1848
1972;Unmarried;35;1826
1972;Married;18;1429
1972;Married;19;3995
1972;Married;20;8366
1972;Married;21;14129
1972;Married;22;19404
1972;Married;23;24637
1972;Married;24;29736
1972;Married;25;32884
1972;Married;26;33577
1972;Married;27;33241
1972;Married;28;31618
1972;Married;29;30162
1972;Married;30;27525
1972;Married;31;27172
1972;Married;32;26160
1972;Married;33;26413
1972;Married;34;26141
1972;Married;35;25414
1973;Unmarried;18;34735
1973;Unmarried;19;33030
1973;Unmarried;20;28788
1973;Unmarried;21;23219
1973;Unmarried;22;19158
1973;Unmarried;23;14353
1973;Unmarried;24;11494
1973;Unmarried;25;9281
1973;Unmarried;26;7608
1973;Unmarried;27;6023
1973;Unmarried;28;4770
1973;Unmarried;29;3804
1973;Unmarried;30;3227
1973;Unmarried;31;2497
1973;Unmarried;32;2199
1973;Unmarried;33;2057
1973;Unmarried;34;1944
1973;Unmarried;35;1766
